DateID,MarketID,CustomerID,CatID,ProductID,Sales
20171206,102,1002,202,303,14.62
20150906,102,1003,202,304,7.28
20150906,102,1003,202,306,18.504
20150906,102,1003,202,307,114.9
20150906,102,1004,202,310,7.36
20150906,102,1004,202,311,23.1
20180812,102,1100,202,320,55.98
20180108,102,1063,202,336,54.896
20150808,102,1021,202,359,76.12
20151210,102,1030,202,391,14.9
20180309,102,1477,202,391,5.96
20151210,102,1030,202,392,21.39
20170109,102,1093,202,397,21.88
20170307,102,1471,202,402,3.96
20150912,102,1159,202,403,34.68
20150911,102,1109,202,424,92.52
20170612,102,1045,202,428,19.44
20180409,102,1373,202,430,217.85
20150202,102,1278,202,438,12.35
20161212,102,1330,202,438,7.86
20160709,102,1051,202,442,671.93
20171105,102,1053,202,446,5.98
20170711,102,1055,202,448,37.44
20180104,102,1169,202,448,121.68
20170711,102,1055,202,449,26.976
20170711,102,1055,202,450,11.36
20170711,102,1055,202,451,14.62
20150508,102,1058,202,465,20.94
20150508,102,1058,202,466,110.96
20151204,102,1391,202,490,18.088
20181106,102,1066,202,492,122.97
20181102,102,1068,202,499,21.336
20180212,102,1068,202,501,559.62
20180212,102,1068,202,502,109.92
20180212,102,1068,202,503,8.56
20161205,102,1393,202,503,12.84
20181211,102,1071,202,513,10.56
20160309,102,1071,202,514,31.44
20171011,102,1218,202,529,32.4
20181109,102,1416,202,529,12.96
20171109,102,1077,202,531,7.61
20181012,102,1084,202,546,19.936
20181012,102,1084,202,547,65.568
20160109,102,1089,202,554,4.752
20180110,102,1329,202,554,61.776
20160109,102,1089,202,556,14.368
20181009,102,1190,202,556,7.184
20151207,102,1090,202,557,7.712
20180110,102,1329,202,563,1.44
20170808,102,1463,202,565,15.24
20170804,102,1095,202,571,20.04
20170804,102,1095,202,572,64.96
20170804,102,1095,202,573,12.96
20180812,102,1100,202,583,27.15
20180212,102,1344,202,583,10.86
20180812,102,1100,202,585,9.68
20180812,102,1100,202,586,28.35
20180403,102,1101,202,589,9.32
20180403,102,1101,202,590,15.25
20161009,102,1130,202,592,51.52
20180409,102,1421,202,593,12.96
20150911,102,1109,202,606,340.92
20150911,102,1109,202,609,62.65
20150911,102,1109,202,610,94.85
20181006,102,1112,202,613,29.6
20180611,102,1185,202,624,15.28
20180112,102,1469,202,635,10.128
20171006,102,1128,202,636,20.7
20171006,102,1128,202,638,32.4
20151011,102,1319,202,649,62.24
20181107,102,1250,202,699,8.67
20150404,102,1164,202,703,18.9
20171011,102,1166,202,706,155.82
20171011,102,1166,202,707,70.008
20170808,102,1463,202,715,487.92
20180611,102,1185,202,744,5.68
20180405,102,1192,202,762,17.61
20160612,102,1193,202,763,120.15
20150109,102,1199,202,783,53.94
20151207,102,1205,202,794,249.75
20180209,102,1210,202,803,6.57
20171011,102,1218,202,815,13.216
20160808,102,1361,202,815,6.608
20160410,102,1220,202,816,26.96
20150605,102,1227,202,826,140.736
20150104,102,1235,202,838,29.6
20150104,102,1235,202,839,17.088
20180911,102,1353,202,844,63.56
20181111,102,1158,202,862,121.6
20170212,102,1252,202,869,25.92
20170212,102,1252,202,870,40.46
20170212,102,1252,202,871,33.87
20160108,102,1256,202,879,6.72
20180212,102,1344,202,879,10.08
20180512,102,1193,202,885,92.94
20150402,102,1263,202,888,82.896
20150402,102,1263,202,889,34.24
20170706,102,1475,202,892,4.73
20150908,102,1282,202,904,20.88
20160509,102,1285,202,908,28.752
20170505,102,1365,202,944,5.98
20150809,102,1455,202,949,56.65
20180305,102,1478,202,953,763.44
20181104,102,1313,202,965,41.86
20160210,102,1070,202,968,270.34
20170809,102,1035,202,969,33.024
20170809,102,1035,202,970,67.136
20160210,102,1072,202,971,57.504
20170701,102,1073,202,992,34.58
20150108,102,1325,202,993,19.752
20180110,102,1329,202,1004,241.96
20170301,102,1021,202,1007,114.46
20160811,102,1332,202,1008,5
20181006,102,1340,202,1017,16.4
20180212,102,1344,202,1027,9.024
20160706,102,1350,202,1027,7.52
20180212,102,1344,202,1028,69.456
20180212,102,1344,202,1029,79.47
20160612,102,1240,202,1033,32.75
20161212,102,1330,202,1037,24.448
20151211,102,1351,202,1043,11.96
20170505,102,1395,202,1047,6.72
20170511,102,1070,202,1050,29.12
20170311,102,1210,202,1058,87.71
20170311,102,1210,202,1059,1101.48
20170403,102,1234,202,1087,16.99
20180104,102,1169,202,1088,5.78
20180312,102,1371,202,1103,166.44
20161211,102,1152,202,1107,15.7
20150410,102,1378,202,1110,14.45
20150410,102,1378,202,1111,95.648
20150808,102,1382,202,1115,423.28
20181210,102,1385,202,1118,101.84
20161205,102,1393,202,1124,25.68
20181111,102,1158,202,1126,10.89
20181111,102,1158,202,1127,19.44
20160808,102,1361,202,1142,7.28
20170909,102,1180,202,1154,55.36
20181109,102,1416,202,1164,22.18
20151011,102,1319,202,1195,39.84
20180807,102,1436,202,1197,75.18
20161109,102,1006,202,1212,181.35
20161109,102,1006,202,1213,8.64
20161004,102,1466,202,1215,12.832
20180812,102,1301,202,1229,29.79
20180812,102,1301,202,1231,60.12
20170710,102,1356,202,1233,27.264
20150809,102,1455,202,1234,14.97
20150809,102,1455,202,1235,4.02
20170812,102,1204,202,1240,8.56
20170812,102,1204,202,1241,45.36
20180112,102,1469,202,1254,45.36
20180711,102,1470,202,1255,21.792
20170307,102,1471,202,1259,12.96
20170706,102,1475,202,1263,4.784
20180409,102,1373,202,1271,487.984
20180305,102,1478,202,1274,69.52
20150507,102,1455,202,1312,180.96
20180606,102,1429,202,1326,26.4
20180209,102,1276,202,1232,9.4
20180209,102,1276,202,494,74
20170707,102,1503,202,1344,48.94
20170408,102,1008,202,355,20.952
20170408,102,1008,202,474,11.784
20180708,102,1142,202,1360,13.76
20180210,102,1511,202,1223,112.12
20180210,102,1511,202,878,1575.14
20151110,102,1051,202,530,31.92
20180603,102,1205,202,384,14.976
20180912,102,1525,202,1300,11.16
20180912,102,1525,202,1393,189
20180409,102,1080,202,1394,54.32
20150411,102,1323,202,431,21.936
20150411,102,1323,202,1098,19.44
20181012,102,1529,202,1402,12.96
20150605,102,1184,202,1407,5.78
20150605,102,1184,202,687,107.94
20170407,102,1536,202,1416,43.96
20170407,102,1536,202,1361,27.92
20160309,102,1349,202,429,6.368
20180708,102,1223,202,937,244.55
20170311,102,1111,202,887,15.26
20170311,102,1111,202,1417,43.32
20170311,102,1111,202,415,43.584
20170311,102,1111,202,1418,116.28
20170311,102,1111,202,820,9.296
20170311,102,1111,202,1419,19.44
20170311,102,1111,202,1420,314.55
20171004,102,1338,202,1424,12.96
20171004,102,1338,202,1425,23.2
20151010,102,1540,202,624,15.28
20160412,102,1543,202,526,271.44
20180211,102,1547,202,397,76.58
20180211,102,1547,202,1438,8.8
20180211,102,1547,202,1439,590.352
20180211,102,1547,202,1440,5.58
20180211,102,1547,202,1442,452.55
20180308,102,1131,202,636,51.75
20181203,102,1548,202,1130,242.94
20180804,102,1550,202,937,244.55
20180804,102,1550,202,1344,195.76
20161010,102,1133,202,1244,45.36
20150711,102,1555,202,826,123.144
20170303,102,1557,202,1459,25.35
20170805,102,1562,202,446,17.94
20181211,102,1424,202,488,14.016
20180510,102,1261,202,1473,39.92
20180510,102,1261,202,1035,61.96
20180510,102,1261,202,546,19.936
20150404,102,1306,202,556,7.184
20151212,102,1075,202,1474,8.94
20180803,102,1081,202,1379,171.2
20180803,102,1081,202,1475,3.36
20170509,102,1064,202,1463,96.08
20170509,102,1064,202,576,11.68
20170509,102,1064,202,356,4.36
20180812,102,1083,202,1485,69.48
20170711,102,1443,202,1228,12.9
20170611,102,1012,202,398,84.84
20170710,102,1440,202,1495,10.56
20171011,102,1258,202,1490,67.71
20171011,102,1258,202,725,129.92
20171011,102,1258,202,1378,61.4
20171011,102,1258,202,1299,720.76
20171011,102,1258,202,461,5.184
20171011,102,1258,202,1499,14.7
20160809,102,1251,202,1342,26.4
20160809,102,1251,202,1361,41.88
20160511,102,1404,202,420,62.8
20160708,102,1037,202,1509,19.152
20180202,102,1533,202,1274,139.04
20180202,102,1533,202,1000,46.8
20180603,102,1566,202,1512,67.78
20170511,102,1064,202,943,53.248
20180505,102,1120,202,1514,23.16
20181209,102,1588,202,662,166.44
20171109,102,1425,202,337,332.94
20171109,102,1425,202,664,39.872
20170208,102,1347,202,1522,12.544
20180301,102,1076,202,1254,38.88
20180910,102,1111,202,1524,35.2
20181109,102,1512,202,715,406.6
20160412,102,1016,202,1530,16.9
20150601,102,1594,202,1402,19.44
20150508,102,1114,202,1533,15.78
20150508,102,1114,202,1534,45.98
20180812,102,1397,202,1540,87.92
20180812,102,1397,202,1223,22.424
20180812,102,1397,202,1312,90.48
20180812,102,1397,202,1061,42.76
20170209,102,1233,202,365,46.53
20180409,102,1015,202,726,13.344
20180810,102,1364,202,1551,40.68
20170810,102,1202,202,1555,61.96
20170506,102,1262,202,556,21.552
20170506,102,1262,202,822,58.24
20171012,102,1160,202,408,80.28
20171212,102,1298,202,604,56.52
20180909,102,1607,202,1569,6.56
20180909,102,1607,202,1495,47.52
20170812,102,1089,202,386,34.05
20170812,102,1089,202,657,352.38
20160612,102,1445,202,1572,7.78
20180309,102,1314,202,969,82.56
20150411,102,1080,202,1001,2.94
20180311,102,1124,202,1580,35.88
20181208,102,1404,202,1585,542.94
20171204,102,1230,202,1587,13.208
20170412,102,1591,202,812,104.85
20151111,102,1119,202,425,30.48
20161212,102,1111,202,1590,2.21
20161212,102,1111,202,1591,15.52
20161212,102,1111,202,1053,36.44
20181205,102,1618,202,1346,238.62
20181205,102,1618,202,1594,7.77
20181205,102,1618,202,908,19.168
20180909,102,1476,202,1608,99.87
20150111,102,1622,202,1609,44.4
20150111,102,1622,202,372,21.4
20181201,102,1523,202,708,9.78
20180611,102,1475,202,552,59.94
20180611,102,1475,202,372,45.36
20180611,102,1475,202,1495,26.4
